case,A10-3,A10-4,A20-1,A20-3,A20-4,BR1,DR1,G20-1,G20-2,G20-4,HR2,HR4,HR5,HS1,HS2,LR1,LS2,LS3,PK1-1,PK1-2,PK1-3,PK1-4,PK2-1,PK2-2,PK2-3,PK2-4,PK6-3,PK6-4,PW3-2,PW3-3,TR1
26,0.2789771308709039,0.2570284393806872,0.18388267896401045,0.27054124538876073,0.2651521796209853,0.26504493342589797,0.0778588456873617,0.03139213091610702,0.05194013322443168,0.006678523741405019,0.046886863316481196,0.11773206404639722,0.17915813923748117,0.09820472921160375,0.07847960167977899,0.058943579956915154,0.06564088594279295,0.028752528361019478,0.13626289874384517,0.1784013137618548,0.25570639478228246,0.24816606483262915,0.19406392540698833,0.29279869130643477,0.34074797778507254,0.1054861082181953,0.05487731023684005,0.0784547748095184,0.020172818800916564,0.03308016814804306,0.04914218572346078
27,0.3110336337562042,0.2894649616497635,0.2317409132017822,0.3095258202455734,0.3104406697401208,0.2660802803516379,0.15501288638693217,0.07543647344418518,0.1129027313651741,0.016906779419918402,0.08481712119769552,0.17254517053387633,0.21045445039471466,0.16379007074647497,0.14752994731739258,0.13930280291533848,0.1517135384714733,0.056001110795973,0.18617335390702705,0.2267876337803049,0.29229663022750496,0.27903470427787186,0.22954735981932473,0.32281645416052346,0.3686366985406929,0.12803596137917203,0.10547800590406411,0.14188793575460976,0.037595726777194936,0.05467036430170363,0.07833546444687439
28,0.3410571892051144,0.31660323395862017,0.2905392523525481,0.36609079302504277,0.35819572731136584,0.34848648411666977,0.20294613571506345,0.12258805219797568,0.1666545122816652,0.03789352432356339,0.12689193450362918,0.2296401530897404,0.26414697340385074,0.2443505770529929,0.22765024384334429,0.18926358897146228,0.20616809537885508,0.102211913498009,0.2585258685992582,0.2976670557197448,0.3500296536071649,0.3334909006503725,0.2949827621315191,0.376974705021321,0.4170734753149631,0.19322305705926934,0.15946099538199002,0.20121886461801014,0.06249702626774549,0.08290200327489637,0.09658628733616853
29,0.30959837630856707,0.28526767780218054,0.23220949064576776,0.3137236025346581,0.30741308323162997,0.2700357851516077,0.1462829769720682,0.07292234636496027,0.1104288046758231,0.01609344094498643,0.08235007664677357,0.17567035946395637,0.21655176767848508,0.16360076694105188,0.14276322120186724,0.11665122793249988,0.1485852271969707,0.0530060513212723,0.18011490845320358,0.22236172992718242,0.2885824472072556,0.27508965046140343,0.2246093234294338,0.3194295062063903,0.3665633145859444,0.1223217426941751,0.10322376492183655,0.13904061428145198,0.03621500700362478,0.05299025507065561,0.07306046532816803
30,0.3350938884370393,0.3113436619976527,0.27669996450453604,0.3531289581269714,0.34524353445164935,0.3325280810923931,0.19320093025642088,0.10883823694450064,0.15203578842459997,0.030963134394158688,0.11915065535531642,0.21478818008879866,0.24920925414716916,0.224432930090594,0.2103527299820875,0.1742118796419913,0.19733885887232092,0.061863087030578315,0.24054647664945372,0.2799637644225652,0.3356933128525541,0.3198028263700962,0.27850624147697467,0.3628972929859034,0.40446148645153,0.17698117865094543,0.14424230592979365,0.1857523296353585,0.0553092858735207,0.07535394791916536,0.09441664653362183
31,0.33939624676735247,0.31471263731991234,0.2857507238317446,0.36212580944576656,0.3539130918042378,0.3338811634885798,0.19776402046485578,0.11965442797325129,0.1638598869187472,0.03603183832168127,0.12304282764205536,0.225036790769577,0.2634721403184103,0.2351702365276472,0.21167406453124088,0.17665222875474879,0.19911368187207987,0.08797270360699515,0.24886315702522985,0.2885746105309827,0.3429981910258901,0.3262990689767844,0.28574655081069505,0.3700323108904112,0.4113403498255689,0.17902753402941438,0.15594039594818107,0.1978637310903897,0.0597770820669668,0.08008584283607878,0.09124115961649808
32,0.3065742725551093,0.2849551886665716,0.22052198682301738,0.30003467451414145,0.30281634474303315,0.2529978133732641,0.13868190821557946,0.06376518029412757,0.09854702935369994,0.013991399350462558,0.07557809010279704,0.1622298147587869,0.20338456732157842,0.14774196744532664,0.13339310047959463,0.10506302991363285,0.13806646072545217,0.05012195828505214,0.175330119183249,0.21760658744675163,0.2872612310402664,0.27629446056247153,0.22490120301799107,0.3202592456975467,0.3669192639551572,0.1261009465365018,0.09329622490233508,0.12735240859540795,0.03326846863607713,0.049666088532971754,0.07108413317751539
33,0.3330798235161239,0.3075450413786106,0.26852851165635866,0.34709709348853407,0.33915510286764894,0.3448244169376628,0.18522829247391645,0.09834652440854298,0.13994910031728083,0.026503390780617125,0.10844787645507503,0.21710699746197312,0.2517304144428137,0.2176874346117272,0.19248863577655734,0.16535036547542414,0.19195738202435386,0.0832642839874285,0.23024822404114134,0.2724599386232448,0.3312007953612503,0.31527149900307777,0.27293322037962325,0.3588407271495213,0.4006062449545745,0.17228883527444616,0.13300688179384146,0.1731578075893452,0.05087830226758158,0.07090133765953172,0.08897617288865142
34,0.329502176318393,0.30471109783505446,0.2639846791061094,0.34304335481458464,0.3354100509900238,0.30810682016389385,0.18207376306500395,0.094393060132462,0.13610015221285457,0.02462564854738031,0.11022322023099895,0.20348522987362067,0.2456547596918063,0.2065447250979171,0.1833139087588087,0.15417052379966548,0.1884138009766654,0.06533453081385748,0.22437700839990196,0.2671956166595683,0.3274687204839749,0.3119170315304199,0.2683971254959727,0.3565126372584054,0.39995141218646946,0.16734754824581283,0.12900437932523054,0.16914521038610766,0.04870893792057807,0.06850627405940551,0.0876070683127607
35,0.3062263518954489,0.28514217013254506,0.20034793593421463,0.28079719900603073,0.29568382237131857,0.23596049329733668,0.11007583929851583,0.03981434515002533,0.06527762139187532,0.00882178499709919,0.05877480348677494,0.1509904661527857,0.1999904895641386,0.11344925570142114,0.11768499393786724,0.07929335614081257,0.10704589308632156,0.032009322881060454,0.16461599847978287,0.21352779732059524,0.29043253186186874,0.2814536037729157,0.22640386980188199,0.32136859853554767,0.36971263501453505,0.13240467245741794,0.06870922900415591,0.09768623732431206,0.026856703410204463,0.04276951167608673,0.06186606796963801
